source_id,raw_latitude,raw_longitude,reason
10137,,,invalid_or_unknown_coordinate_system
10138,,,invalid_or_unknown_coordinate_system
10140,,,invalid_or_unknown_coordinate_system
10141,,,invalid_or_unknown_coordinate_system
10142,,,invalid_or_unknown_coordinate_system
10143,,,invalid_or_unknown_coordinate_system
10144,,,invalid_or_unknown_coordinate_system
10145,,,invalid_or_unknown_coordinate_system
10146,,,invalid_or_unknown_coordinate_system
10150,,,invalid_or_unknown_coordinate_system
10151,,,invalid_or_unknown_coordinate_system
10153,,,invalid_or_unknown_coordinate_system
10154,,,invalid_or_unknown_coordinate_system
10155,,,invalid_or_unknown_coordinate_system
10157,,,invalid_or_unknown_coordinate_system
10158,,,invalid_or_unknown_coordinate_system
10159,,,invalid_or_unknown_coordinate_system
10160,,,invalid_or_unknown_coordinate_system
10162,,,invalid_or_unknown_coordinate_system
10163,,,invalid_or_unknown_coordinate_system
10164,,,invalid_or_unknown_coordinate_system
10165,,,invalid_or_unknown_coordinate_system
10166,,,invalid_or_unknown_coordinate_system
10167,,,invalid_or_unknown_coordinate_system
10168,,,invalid_or_unknown_coordinate_system
10169,,,invalid_or_unknown_coordinate_system
10170,,,invalid_or_unknown_coordinate_system
10171,,,invalid_or_unknown_coordinate_system
10172,,,invalid_or_unknown_coordinate_system
10174,,,invalid_or_unknown_coordinate_system
10176,,,invalid_or_unknown_coordinate_system
10177,,,invalid_or_unknown_coordinate_system
10178,,,invalid_or_unknown_coordinate_system
10180,,,invalid_or_unknown_coordinate_system
10181,,,invalid_or_unknown_coordinate_system
10182,,,invalid_or_unknown_coordinate_system
10184,,,invalid_or_unknown_coordinate_system
10185,,,invalid_or_unknown_coordinate_system
10186,,,invalid_or_unknown_coordinate_system
10187,,,invalid_or_unknown_coordinate_system
10188,,,invalid_or_unknown_coordinate_system
10189,,,invalid_or_unknown_coordinate_system
10190,,,invalid_or_unknown_coordinate_system
10191,,,invalid_or_unknown_coordinate_system
10192,,,invalid_or_unknown_coordinate_system
10193,,,invalid_or_unknown_coordinate_system
10194,,,invalid_or_unknown_coordinate_system
