source_id,shop_name,manager_name,raw_latitude,raw_longitude,reason
115794,سوپر مارکت محمد پور1,علی محمد پور,,,null
115795,درنا مارکت1,محمود کاظمی شورکائی,,,null
115796,مواد غذایی برادران جیوان1,سیروس امید جیوان,,,null
115797,سوپر مارکت المهدی1,محمد اسودیان,,,null
115798,مواد غذایی شاتوت1,بردیا هاشمی,,,null
115799,مواد غذایی خباز نیا1,علی خبازنیا,,,null
115800,سوپر مارکت طاها2,باقر عموئی,,,null
115801,سوپر مارکت طاها7,علی عمویی,,,null
115802,سوپر مارکت میلاد7,صابر حسین زاده,,,null
115803,ارزانکده شهروند2,عقیل مرادی,,,null
115804,سوپر مارکت ایرانیان3,علی عموزاده,,,null
115805,مواد غذایی شاطری1,علی اصغر شاطری,,,null
115806,سوپر طاها2,میثم پناهی رمضانلو,,,null
115809,سوپر مارکت ایلیا5,حسین اسماعیل پور کریمی,,,null
115810,سوپر مارکت ابوالفضل5,ابراهیم کریمیان کریمی,,,null
115811,اغدیه گل1,سید محمد اسد الهی,,,null
115812,سوپر مارکت امیرعلی2,طاهر شکری منقاری,,,null
115813,سوپر مارکت شیروی1,محدثه اکبرزاده,,,null
115814,سوپر مارکت شمال3,مهدی شکری,,,null
115815,سوپر مارکت تهران11,حمید منشی زاده وزیری,,,null
115816,سوپر مارکت لاله1,رضا علی فخاری,,,null
115817,سوپر مارکت عسل5,سیدامیر اسدالهی سوته,,,null
115818,سوپر محله11,علی مجیدی,,,null
115819,مواد غذایی ایزدی1,علی ایزدی آملی,,,null
115820,سوپر مارکت شونیز1,آتکه جوکار,,,null
115821,سوپر مارکت ماهان8,محمد جوانی,,,null
115823,گلدن شاپ1,میثم آغاز,,,null
115824,سوپر مارکت برادران کاظمی1,علی اکبر کاظمی اسکی,,,null
115826,سوپر مارکت میر بزرگ1,سید علی اصغر حسنی,,,null
115828,سوپر مارکت باران2,شریف علائی بخش,,,null
115829,بوف شعبه آمل1,رستورانهای زنجیره ای بوف,,,null
115830,مواد غذایی لاله زار1,سید حبیب اله حسینی,,,null
115831,سوپر مارکت لوکس2,مسعود روشن فر,,,null
115832,سوپر مارکت رمضانی1,حسین رمضانی,,,null
115833,سوپر مارکت امیر5,امید معنوی,,,null
115834,سوپر مارکت نیما4,نیما هاشمی,,,null
115835,سوپر مارکت مصطفی3,مصطفی مظلوم,,,null
115836,سوپر مارکت آفتاب2,داود ولی زاده,,,null
115838,سوغات سرای هدیه1,سید امیر حسین حسینی,,,null
115840,سوپر مارکت مرتضی11,حبیب اله رنجبر,,,null
115841,سوپر هلیا1,رحمان رضائی,,,null
115842,مواد غذایی معتمد1,مصطفی معتمدی,,,null
115844,مواد غذایی نوشین نو1,حسین فاضلیان امیری,,,null
115845,سوپر مارکت ست1,ایمان علی پور,,,null
115846,سوپر مارکت کوثری1,حسین کوثری,,,null
115848,سوپر سعید1,روح اله ابراهیمی,,,null
115849,لوازم سوارکاری امیرپور1,عابدین امیرپوراسکی,,,null
115850,مواد غذایی بهمن1,مجتبی تیر گران,,,null
115851,سوپر مارکت جعفری5,ابراهیم جعفری,,,null
115852,سوپر مارکت سیب آبی1,حسین خالقی,,,null
115853,سوپر مارکت امین2,اصغر رمضانی,,,null
115854,پخش دومینو آمل1,مرتضی هاشمی,,,null
115855,سوپر مارکت محمد حسین1,نور اله علی نیا,,,null
115856,سوپر مارکت سهیل7,مجید مرادی,,,null
115857,سوپر مارکت بچه محل1,سیدجمال رضازاده,,,null
115858,مواد غذایی میلاد2,مسعود قلی زاده,,,null
115860,پخش زغال حقیقت1,محمد رضا بذرافشان,,,null
115863,سوپر مارکت امیدرضا1,رضا رضائی,,,null
115864,سوپر مارکت دریا12,مهران جعفری کرفی,,,null
115866,سوپر مارکت آشان1,حشمت اله غباث زاده عمرانی,,,null
115867,مواد غذایی روماکشاپ1,احمد الهی وسطی,,,null
115868,سوپر مارکت کاسپین4,علی اکبر شکری,,,null
115869,سوپر مارکت غلامی1,علی غلامی,,,null
115870,سوپر مارکت نادری1,نقی نادری,,,null
115871,سوپر مارکت فاضلی1,اسماعیل فاضلی,,,null
115872,سوپر مارکت چشمک1,سید مصطفی برزگر,,,null
115873,سوپر مارکت نوایی1,علی محمد مختار زاده,,,null
115874,سوپر مارکت حاج امیر1,هوشنگ امیرپور,,,null
115875,سوپر مارکت محمد14,شعبان نصیری,,,null
115876,قند و شکر طهماسبی1,رجبعلی طهماسبی,,,null
115877,مواد غذایی امیر7,سید احمد توفیقی,,,null
115879,سوپر مارکت قنبری11,طیبه جوج,,,null
115881,سوپر مارکت پارسا5,علی زارع شیاده,,,null
115883,سوپر مارکت ایلیا6,ابراهیم نصیری,,,null
115887,سوپر مارکت برادران رمضانی1,حمید رضا رمضانی,,,null
115888,چهل چشمه1,صدیقه آکند,,,null
115891,سوپر مارکت عرفان3,احمد فضلی,,,null
115892,سوپر مارکت فضلی1,رستم فضلی,,,null
115893,سوپر مارکت گلدن شاپ1,زهره کمانگر,,,null
115894,مواد غذایی خلیل زاده1,محمود خلیل زاده,,,null
115896,سوپر نوشاد1,علی ایرائی,,,null
115897,مواد غذایی مسعود نیا1,علی اصغر مسعودنیا,,,null
115898,سوپر مارکت تلاونگ1,محمود عمرانیان,,,null
115899,سوپر مارکت دهکده8,مهدی فرهادی,,,null
115900,سوپر چهار فصل1,سید مهدی نبی زاده,,,null
115901,فروشگاه مهر آذین1,میثم نیکو,,,null
115902,سوپر مارکت دائی1,قاسم علی زاده,,,null
115903,سوپر عباسی1,رضا عباسی,,,null
